 % acoustic_params.win_size: 512
 % acoustic_params.hop_size: 256
 % acoustic_params.min_freq: 40
 % acoustic_params.max_freq: 6000
 % acoustic_params.num_mel_filts: 26
 % acoustic_params.ITW: 1
@relation train_feature_200-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 {1,2,}

@data
0.82125,0.95269,0.99054,0.95902,0.95376,1,0.74271,0.72906,0.76662,0.47615,0.48403,0.47233,0.44599,0.50817,0.41372,0.2174,0.24441,0.1847,0.093643,0.07047,0.021678,0,0.01849,0.062084,0.11535,0.38814,0,1,0.4567,0.0044691,0.12293,0.93831,0.67028,0.028571,0.78791,0.19702,0.24028,0.066463,0.94271,0.33153,0.30763,0.85268,0.49767,0.59403,0.73718,0.34773,0.15916,0.47285,0.25622,0.26037,0.55503,0.4759,1
0.87628,0.99596,0.94639,0.94607,1,0.97209,0.71893,0.7585,0.74829,0.49382,0.53132,0.50261,0.49664,0.51528,0.3662,0.26375,0.19528,0.16037,0.098224,0.080629,0.054062,0,0.028183,0.08424,0.14394,0.33231,0.46474,0.29496,0.20211,0.1872,0.077749,0.13461,0.16989,0.97735,0.70057,0.14987,0.73271,1,0.27369,0.27812,0.57009,0.25513,0.034278,0.28887,0.49889,0.49319,0.8127,0.11904,0.62704,0.047947,0.27076,0,1
0.88827,0.96581,1,0.95601,0.99326,0.98189,0.74372,0.74785,0.71394,0.50782,0.50435,0.46525,0.50187,0.5009,0.33956,0.22038,0.20335,0.12077,0.11961,0.051584,0,0.0049278,0.04206,0.097408,0.084935,0.31494,0,0.3051,0.75971,0.97307,0.60568,0.35613,0.37737,0.82109,0.74819,0.33902,0.48137,0.97072,0.90829,1,0.59115,0.87897,0.59867,0.54208,0.6255,0.49869,0.44576,0.4911,0.69778,0.41072,0.33088,0.40112,1
0.82012,0.9517,0.98327,0.93277,1,0.99186,0.74204,0.77427,0.74363,0.49324,0.51191,0.516,0.50656,0.51067,0.38776,0.24622,0.24403,0.19726,0.10328,0.029386,0.015408,0,0.040017,0.09315,0.11059,0.36237,0.73073,0.7639,0.34066,0.45597,0.56874,0.31487,0.3642,0.70682,0.83594,0.78913,0.61017,0.64657,0.66222,0.62955,0.75164,0,0.78776,0.81065,0.57024,1,0.77938,0.89862,0.80303,0.8691,0.73451,0.83083,1
0.8685,0.98798,1,0.99175,0.99015,0.99602,0.77146,0.76605,0.75934,0.55877,0.54496,0.51679,0.50504,0.50689,0.36761,0.25751,0.26538,0.15925,0.10251,0.074683,0.037427,0,0.038087,0.091319,0.14539,0.35392,0,0.098455,0.36487,0.92817,0.75339,1,0.22029,0.23199,0.16021,0.35848,0.45754,0.37785,0.43017,0.38799,0.28352,0.50156,0.47415,0.38081,0.37935,0.22955,0.21082,0.2198,0.28383,0.18292,0.18745,0.34537,1
0.82383,0.99146,1,0.9532,0.95496,0.96605,0.77005,0.73393,0.73525,0.52398,0.52895,0.46822,0.50781,0.46619,0.36781,0.27416,0.23859,0.17324,0.09053,0.091305,0.01852,0,0.04157,0.099697,0.13243,0.34335,0.78452,0.51657,0.35833,0.73304,0.63259,0.47766,0.66914,0.57802,0.64726,0.79331,0.72323,0.73084,0.79153,0.78253,0.72013,0,0.85643,0.49738,0.76854,0.86538,1,0.87181,0.67926,0.71249,0.9312,0.48695,1
0.80569,0.92331,0.95231,1,0.9453,0.94825,0.7263,0.72664,0.69848,0.52236,0.49134,0.46097,0.47505,0.50896,0.38209,0.29635,0.22111,0.16942,0.10715,0.07553,0.019373,0,0.049506,0.078213,0.10522,0.34595,1,0.017077,0.22107,0.41471,0.14587,0.16344,0.18228,0.70725,0.46202,0.34378,0.12932,0,0.16205,0.11404,0.050708,0.16529,0.18017,0.073158,0.55168,0.13327,0.21625,0.10287,0.49845,0.1191,0.35909,0.15553,1
0.91111,1,0.98249,0.97947,0.98138,0.98291,0.75964,0.74609,0.71697,0.48645,0.47634,0.4915,0.49814,0.49277,0.38811,0.23318,0.2468,0.13849,0.093799,0.077183,0.016106,0,0.035838,0.090442,0.13684,0.35571,0.45623,0.36419,0.31167,0.87774,0.77065,0.66671,0.45675,0.66047,0.95541,0.60185,1,0.86617,0.85242,0.99365,0.20221,0.57901,0.93626,0.56878,0.55753,0.34565,0.31628,0.5648,0,0.90136,0.85362,0.76444,1
0.88433,1,0.95963,0.99445,0.96348,0.95386,0.73196,0.67766,0.69837,0.44985,0.4445,0.49072,0.4522,0.42578,0.32288,0.25086,0.23494,0.13397,0.090586,0.062137,0.012913,0,0.02067,0.071713,0.12936,0.35198,0.39043,0.46858,0.20098,0.14569,0.90066,0.34917,1,0.13271,0,0.72576,0.23945,0.27567,0.13081,0.18766,0.51497,0.28915,0.17099,0.45097,0.89479,0.30811,0.50909,0.43347,0.39231,0.57162,0.40742,0.94896,1
0.83452,0.94909,0.99113,1,0.98421,0.99211,0.74429,0.76397,0.77057,0.50009,0.52753,0.51703,0.47379,0.49166,0.38576,0.29311,0.26177,0.19069,0.10035,0.075735,0.031907,0,0.042671,0.09402,0.16112,0.4027,0,0.26422,0.29895,0.79902,0.80286,0.79643,0.88005,0.7354,0.87107,0.84824,0.96147,0.92966,0.88429,0.95277,0.92139,0.80989,0.677,0.8421,0.97029,0.97749,1,0.38056,0.80837,0.95673,0.75213,0.95548,1
0.83681,0.97582,0.98179,0.98066,1,0.9932,0.76316,0.73304,0.75692,0.48383,0.53494,0.49134,0.50087,0.53317,0.39463,0.27217,0.26134,0.1813,0.097837,0.076499,0.035731,0,0.037215,0.097882,0.14735,0.37739,1,0.39001,0.398,0.19128,0.62961,0,0.149,0.66572,0.23755,0.16947,0.082295,0.45376,0.3154,0.308,0.29854,0.14696,0.00045466,0.33767,0.074304,0.16285,0.1753,0.1432,0.070103,0.12491,0.1919,0.17711,1
0.80393,0.95851,0.95814,0.9878,1,0.98538,0.75428,0.73119,0.72611,0.51623,0.5124,0.47983,0.4519,0.50973,0.3957,0.26251,0.2373,0.14747,0.082449,0.071649,0.006607,0,0.025951,0.10199,0.14416,0.36908,0.090089,0.027595,0.41637,0.068685,0.36746,0.12953,0.47195,1,0.88057,0.57836,0.60398,0.31935,0.14234,0.78334,0.59106,0.13447,0.62181,0.57709,0.35003,0.35668,0.58132,0.63604,0.49654,0.39181,0.54483,0,1
0.83605,0.9445,0.96129,0.97873,0.94651,1,0.73632,0.74643,0.73801,0.49567,0.46273,0.49468,0.49816,0.47757,0.37189,0.24576,0.261,0.18105,0.11589,0.11081,0.021134,0,0.053828,0.08211,0.12409,0.41916,0.21518,0.86479,0.030899,0.03055,0.051833,0.16867,0.085145,0.44418,0.51139,0.056205,0.26051,0.41831,0.35452,1,0.23237,0.024414,0.025564,0.83491,0,0.39896,0.19142,0.56364,0.23943,0.61358,0.072747,0.40919,1
0.88241,0.97557,0.96567,0.99008,0.98043,1,0.74281,0.77952,0.77948,0.47021,0.45934,0.47463,0.47411,0.48369,0.36453,0.27172,0.2408,0.15687,0.1113,0.057413,0.021681,0,0.061377,0.074984,0.1194,0.37049,0.5167,0.83021,0.72093,0.50521,0.6337,0.73647,0.79927,0.61898,0.66826,0.78355,0,0.75489,0.93377,0.86737,0.71873,0.91226,0.96796,1,0.7404,0.78728,0.34171,0.58036,0.91735,0.45292,0.84465,0.93462,1
0.81184,1,0.98713,0.98855,0.99629,0.99818,0.74614,0.70918,0.70204,0.46688,0.47484,0.44972,0.44302,0.43401,0.32364,0.20552,0.23691,0.13518,0.068736,0.098534,0.031285,0,0.047073,0.094318,0.11875,0.37036,0.17814,0.78115,0.45483,0.7784,0.56082,0.042402,0.47753,0.97978,1,0.80714,0.50039,0.47671,0.47412,0.80896,0.17612,0.65835,0.4647,0.91793,0.84839,0.4879,0,0.73511,0.52414,0.22233,0.36681,0.54418,1
0.86178,0.98662,0.96617,0.9993,0.99382,1,0.70942,0.7086,0.70564,0.51522,0.46147,0.46817,0.48272,0.49301,0.33851,0.22134,0.24423,0.13222,0.069174,0.02987,0.015987,0,0.038022,0.071151,0.11647,0.35537,0.81575,0.65151,0.80627,0.85211,0.81634,0.73111,0.95265,0.62223,0.2913,0.972,0.92041,0.73939,0.55673,0,0.19662,0.9171,0.70366,1,0.82275,0.99115,0.83284,0.83869,0.95252,0.73278,0.89736,0.76785,1
0.84957,1,0.96231,0.93348,0.94582,0.9753,0.73649,0.71512,0.71995,0.47369,0.50833,0.47928,0.47153,0.49813,0.36368,0.23082,0.23361,0.13339,0.05888,0.088031,0,0.0020382,0.0049066,0.07804,0.15384,0.31894,1,0.74688,0.68137,0.58058,0.71599,0.77515,0.87162,0.46479,0.62309,0.88268,0.23076,0.58745,0.66737,0.56554,0.75079,0.61458,0.53432,0.40096,0.056829,0.5618,0.85285,0.117,0.024293,0.44395,0.37426,0,1
